text,created_at
@USA_WINGMAN @supermod_l @Stonekettle @M_Henry_Tillman @davidfrum You wouldn’t like it because the military nor the… https://t.co/XGdI13wT31,Mon Dec 11 20:30:49 +0000 2017

RT @lyricsandnature: Guns N' Roses // November Rain  https://t.co/fF4WICvUnG,Mon Dec 11 20:30:50 +0000 2017

"RT @youngzuok: Our phones are not guns, #ENDSARS, having dread doesn't make us criminals #EndSARS wearing gold chain doesn't make… ",Mon Dec 11 20:30:52 +0000 2017

Some churches putting faith in their guns to fend off mass shootings - A https://t.co/kvDNolTiiS,Mon Dec 11 20:30:53 +0000 2017

"RT @BradThor: Step 1) Ban guns 
Step 2) Ban opposition parties https://t.co/EEDegCPBF4",Mon Dec 11 20:30:54 +0000 2017

"RT @Marksman: What's with COD devs balancing OP guns 2 years after release? Lol, the ASM1 and BAL in AW and now the VMP today https://t.co/…",Mon Dec 11 20:30:54 +0000 2017

"Get armed. Get trained. Carry daily. Long live the Republic! -Andy Hallinan, Florida Gun Supply https://t.co/zM4ZisQMIT",Mon Dec 11 20:30:55 +0000 2017

"NYC is not my real dad

I do what I want https://t.co/upShyZy72d",Mon Dec 11 20:30:56 +0000 2017

"ed sheeran
bruno mars
elton john
james taylor
maroon 5, aerosmith, JT e guns no rock in rio
john mayer",Mon Dec 11 20:30:57 +0000 2017

RT @lyricsandnature: Guns N' Roses // November Rain  https://t.co/fF4WICvUnG,Mon Dec 11 20:30:57 +0000 2017

RT @JannaWilkinso69: My GRANNY was RAPED as a TEEN and my MOM WAS BORN😃 My MOM was RAPED as a TEEN and I WAS BORN😃DON'T TALK to ME ABOUT… ,Mon Dec 11 20:30:58 +0000 2017

Register as a firearms dealer - GOV.UK https://t.co/xWeilhTy8n,Mon Dec 11 20:30:58 +0000 2017

RT @dbongino: The stupid is spreading. https://t.co/qaGOob9ISx,Mon Dec 11 20:31:00 +0000 2017

No https://t.co/77VdNfswHg,Mon Dec 11 20:31:01 +0000 2017

RT @OnlineMagazin: 🆘‼️😇🎅 Poland: The #ChristmasMarket in Breslau (Wroclaw) has been named the most beautiful #Christmas market in… ,Mon Dec 11 20:31:02 +0000 2017

"RT @BradThor: Step 1) Ban guns 
Step 2) Ban opposition parties https://t.co/EEDegCPBF4",Mon Dec 11 20:31:03 +0000 2017

RT @CrazyinRussia: Fun with guns in Russia.  https://t.co/FrbxOKr9SF,Mon Dec 11 20:31:03 +0000 2017

RT @mvanvol_van: “You support pretty harsh policies for marijuana and pretty lax gun control laws — I’m not even sure where you stan… ,Mon Dec 11 20:31:04 +0000 2017

"God Guns Grits And Gravy PDF
https://t.co/MFzUsILq08 https://t.co/ljIJJPAIq0",Mon Dec 11 20:31:04 +0000 2017

@sgmills52 @sness5561_ness @Reederschloss @DeplorableDean @KAFosterSowell @Porkins_Lives @KimberlyBlunk… https://t.co/kKbryN7dET,Mon Dec 11 20:31:05 +0000 2017

"The Guns of Mestonville - ""The Special Edition"" of the western novel is now available on https://t.co/a5V8TmtFiP",Mon Dec 11 20:31:06 +0000 2017

RT @Kevitooo_: All guns do the same thing. https://t.co/crr2yve343,Mon Dec 11 20:31:06 +0000 2017

@thegoldtheory Understanding the meaning of semi-automatic guns makes me a lunatic? O-k. 🙄,Mon Dec 11 20:31:08 +0000 2017

"RT @BradThor: Step 1) Ban guns 
Step 2) Ban opposition parties https://t.co/EEDegCPBF4",Mon Dec 11 20:31:10 +0000 2017

RT @JannaWilkinso69: My GRANNY was RAPED as a TEEN and my MOM WAS BORN😃 My MOM was RAPED as a TEEN and I WAS BORN😃DON'T TALK to ME ABOUT… ,Mon Dec 11 20:31:13 +0000 2017

"The way some use religion to instill fear, anger, and hate... radical ""Christianity"" is a real force of evil in thi… https://t.co/EgQCpH5GX6",Mon Dec 11 20:31:15 +0000 2017

RT @JosephMRyan1: Some of the toughest gun laws in the country All the criminals have guns and the honest citizens go unarmed and unp… ,Mon Dec 11 20:31:19 +0000 2017

RT @ShakyJennings: She has the right IDEA https://t.co/czbBXA43Xj,Mon Dec 11 20:31:21 +0000 2017

"RT @DavMicRot: Dear rest of USA,
Whatever we learn over next few hours, New Yorkers do NOT want you to restrict immigrants or hara… ",Mon Dec 11 20:31:23 +0000 2017

I liked a @YouTube video https://t.co/jBou1TCsXy Guns N' Roses News: Myles Kennedy Talks Next Slash &amp; Conspirators Record!,Mon Dec 11 20:31:26 +0000 2017

"We don’t need Juco Cb’s, IMO. Just get the young guns",Mon Dec 11 20:31:28 +0000 2017

"RT @Kamunt: I'd like to note that, according to the White House, a brown terrorist person who comes here ~7 years ago and attem… ",Mon Dec 11 20:31:28 +0000 2017

RT @tariqnasheed: The suspect in the Aztec High School mass shooting was a 21 y/o white identity extremist named William Atchison. Ai… ,Mon Dec 11 20:31:29 +0000 2017

Yet law-abiding Americans are painted as villains for legally owning guns. https://t.co/MiAvHaXDqu,Mon Dec 11 20:31:32 +0000 2017

RT @mjh4259: Time person of the year is a joke. The real heroes this year were the men and women with bass boats and guns who re… ,Mon Dec 11 20:31:35 +0000 2017

"New post () has been published on  - https://t.co/vzk90LN7D3
#knife #knives #edc #edcknife #weapon #guns #gun… https://t.co/ttilLywCOF",Mon Dec 11 20:31:35 +0000 2017

"RT @JenAshleyWright: @not_all_eggs Remember that the same people who think you should give up your body to ""preserve life"" won't even give…",Mon Dec 11 20:31:35 +0000 2017

"RT @CHearSpeakNEvil: 👏👏👏 and now paddles out and sing ""row, row your boat"" back home! https://t.co/0QwV9c1juI",Mon Dec 11 20:31:36 +0000 2017

RT @realDonaldTrump: LAST thing the Make America Great Again Agenda needs is a Liberal Democrat in Senate where we have so little margin… ,Mon Dec 11 20:31:38 +0000 2017

RT @jayerosex: cannot believe cops who flinch anytime someone moves are allowed to carry guns. What they did to this man before th… ,Mon Dec 11 20:31:40 +0000 2017

"@redsteeze In the same tweet, @CillizzaCNN, you say Americans want the mentally ill not to be able to purchase guns… https://t.co/hUBQ1JS2B5",Mon Dec 11 20:31:42 +0000 2017

RT @Khourisnotrare: The whole point of this gun is to throw it away https://t.co/dT6Cuz91Jb,Mon Dec 11 20:31:43 +0000 2017

RT @Kevitooo_: All guns do the same thing. https://t.co/crr2yve343,Mon Dec 11 20:31:48 +0000 2017

@libbyhamb @JohnCornyn @CityOfArlington Daily Reminder. JC backs a pedophile who wants to put guns in EVERY Man's h… https://t.co/aKKpoable4,Mon Dec 11 20:31:49 +0000 2017

