text,created_at
Roy Moore arrives at polling place by propelling himself forward by shooting his little guns behind him. Pew! Pew! Pew!,Tue Dec 12 20:30:54 +0000 2017

"RT @Hoosiers1986: Dear Alabama,

Please vote for me and I promise that I will gladly kill your unborn babies, take your guns &amp; fight… ",Tue Dec 12 20:30:55 +0000 2017

Bitcoin (Bust Out the Big Guns. Literally.)  https://t.co/91TWZybBuR  $BTC,Tue Dec 12 20:30:56 +0000 2017

"RT @DBallsbuddy: ""I don’t like guns, I’d throw roses around"" 
-HARRY STYLES",Tue Dec 12 20:31:00 +0000 2017

"RT @Patrick_Fitten: The woman to whom the barrels of guns were addressed, who is also said to be a former employee of a PNP Councillor… ",Tue Dec 12 20:31:03 +0000 2017

@Rosie Oh and ask why the immigration reform and bands but nothing about gun control.....when more people die from guns then terror attacks,Tue Dec 12 20:31:05 +0000 2017

RT @MSMWatchdog2013: Journos still not happy even though @samdastyari has resigned. They are still piling on @AustralianLabor saying the… ,Tue Dec 12 20:31:06 +0000 2017

RT @zackfox: y'all gave keaton 60K like he won't spend it on guns and trench coats,Tue Dec 12 20:31:07 +0000 2017

"I don’t really give a shit about his whole situation, but this claim of Keaton using racial slurs is based entirely… https://t.co/hYvF8CM4Qm",Tue Dec 12 20:31:09 +0000 2017

"Alex is then accidentally gunned down &amp; killed by one of his own,which causes a large shootout, with Rick,Michonne,… https://t.co/OyY0jILFtZ",Tue Dec 12 20:31:09 +0000 2017

"RT @ctrm045: #DearAlabama
#VoteAgainstDougJones https://t.co/KjuQCELI4V",Tue Dec 12 20:31:10 +0000 2017

"RT @Hoosiers1986: Dear Alabama,

Please vote for me and I promise that I will gladly kill your unborn babies, take your guns &amp; fight… ",Tue Dec 12 20:31:14 +0000 2017

"@aCageyBeast @debs_2017 @kpaff3587 @BenKahling @acvollers Lots of farm murders. But not a genocide. Isolated areas,… https://t.co/AVFFsoYmXK",Tue Dec 12 20:31:15 +0000 2017

"RT @Hoosiers1986: Dear Alabama,

Please vote for me and I promise that I will gladly kill your unborn babies, take your guns &amp; fight… ",Tue Dec 12 20:31:16 +0000 2017

"RT @crockvideos: Guns N' Roses ""Don't Cry"" at a local bar, 1985 https://t.co/qsBgQNW8Th",Tue Dec 12 20:31:19 +0000 2017

@realDonaldTrump WH calls for end of chain immigration after failed bombing in NYC...85 die  in LV &amp; so many more d… https://t.co/M2BFLnDlu1,Tue Dec 12 20:31:20 +0000 2017

RT @cushbomb: Roy Moore arrives at polling place by propelling himself forward by shooting his little guns behind him. Pew! Pew! Pew!,Tue Dec 12 20:31:21 +0000 2017

"@TrevorSutcliffe @LBC This is the thing that separates the UK to the US, we don't have that God and Guns issue. It'… https://t.co/xs4wcwyQfJ",Tue Dec 12 20:31:22 +0000 2017

"RT @The_No_Show: Midnight Run is Planes, Trains and Automobiles with more guns.",Tue Dec 12 20:31:23 +0000 2017

